GEO_id,GEO_id2,GEO_display_label,HC03_EST_VC01
Id,Id2,Geography,Percent below poverty level; Estimate; Population for whom poverty status is determined
0500000US06059,6059,"Orange County, California",12.1
1400000US06059001101,6059001101,"Census Tract 11.01, Orange County, California",4.2
1400000US06059001102,6059001102,"Census Tract 11.02, Orange County, California",11.6
1400000US06059001103,6059001103,"Census Tract 11.03, Orange County, California",18.7
1400000US06059001201,6059001201,"Census Tract 12.01, Orange County, California",22.2
1400000US06059001202,6059001202,"Census Tract 12.02, Orange County, California",15.1
1400000US06059001301,6059001301,"Census Tract 13.01, Orange County, California",10.6
1400000US06059001303,6059001303,"Census Tract 13.03, Orange County, California",9.2
1400000US06059001304,6059001304,"Census Tract 13.04, Orange County, California",12.4
1400000US06059001401,6059001401,"Census Tract 14.01, Orange County, California",12.3
1400000US06059001402,6059001402,"Census Tract 14.02, Orange County, California",12.6
1400000US06059001403,6059001403,"Census Tract 14.03, Orange County, California",5
1400000US06059001404,6059001404,"Census Tract 14.04, Orange County, California",14.5
1400000US06059001501,6059001501,"Census Tract 15.01, Orange County, California",6.3
1400000US06059001503,6059001503,"Census Tract 15.03, Orange County, California",15.4
1400000US06059001504,6059001504,"Census Tract 15.04, Orange County, California",5.1
1400000US06059001505,6059001505,"Census Tract 15.05, Orange County, California",6.1
1400000US06059001506,6059001506,"Census Tract 15.06, Orange County, California",12.2
1400000US06059001507,6059001507,"Census Tract 15.07, Orange County, California",6.2
1400000US06059001601,6059001601,"Census Tract 16.01, Orange County, California",9.2
1400000US06059001602,6059001602,"Census Tract 16.02, Orange County, California",5.7
1400000US06059001704,6059001704,"Census Tract 17.04, Orange County, California",10.2
1400000US06059001705,6059001705,"Census Tract 17.05, Orange County, California",12.2
1400000US06059001706,6059001706,"Census Tract 17.06, Orange County, California",8.9
1400000US06059001707,6059001707,"Census Tract 17.07, Orange County, California",5.5
1400000US06059001708,6059001708,"Census Tract 17.08, Orange County, California",8.3
1400000US06059001801,6059001801,"Census Tract 18.01, Orange County, California",26.6
1400000US06059001802,6059001802,"Census Tract 18.02, Orange County, California",26
1400000US06059001901,6059001901,"Census Tract 19.01, Orange County, California",3.6
1400000US06059001902,6059001902,"Census Tract 19.02, Orange County, California",13
1400000US06059001903,6059001903,"Census Tract 19.03, Orange County, California",15.6
1400000US06059011000,6059011000,"Census Tract 110, Orange County, California",7.4
1400000US06059011101,6059011101,"Census Tract 111.01, Orange County, California",21.6
1400000US06059011102,6059011102,"Census Tract 111.02, Orange County, California",15.8
1400000US06059011200,6059011200,"Census Tract 112, Orange County, California",15.8
1400000US06059011300,6059011300,"Census Tract 113, Orange County, California",12
1400000US06059011401,6059011401,"Census Tract 114.01, Orange County, California",7.2
1400000US06059011402,6059011402,"Census Tract 114.02, Orange County, California",2.5
1400000US06059011403,6059011403,"Census Tract 114.03, Orange County, California",23.5
1400000US06059011502,6059011502,"Census Tract 115.02, Orange County, California",16.7
1400000US06059011503,6059011503,"Census Tract 115.03, Orange County, California",7.7
1400000US06059011504,6059011504,"Census Tract 115.04, Orange County, California",30.5
1400000US06059011601,6059011601,"Census Tract 116.01, Orange County, California",30.1
1400000US06059011602,6059011602,"Census Tract 116.02, Orange County, California",14.5
1400000US06059011707,6059011707,"Census Tract 117.07, Orange County, California",8.9
1400000US06059011708,6059011708,"Census Tract 117.08, Orange County, California",26.5
1400000US06059011709,6059011709,"Census Tract 117.09, Orange County, California",2.1
1400000US06059011710,6059011710,"Census Tract 117.10, Orange County, California",1.7
1400000US06059011711,6059011711,"Census Tract 117.11, Orange County, California",11.7
1400000US06059011712,6059011712,"Census Tract 117.12, Orange County, California",10.4
1400000US06059011714,6059011714,"Census Tract 117.14, Orange County, California",5.2
1400000US06059011715,6059011715,"Census Tract 117.15, Orange County, California",5.6
1400000US06059011716,6059011716,"Census Tract 117.16, Orange County, California",6
1400000US06059011717,6059011717,"Census Tract 117.17, Orange County, California",3.5
1400000US06059011718,6059011718,"Census Tract 117.18, Orange County, California",3.7
1400000US06059011720,6059011720,"Census Tract 117.20, Orange County, California",29.1
1400000US06059011721,6059011721,"Census Tract 117.21, Orange County, California",18.8
1400000US06059011722,6059011722,"Census Tract 117.22, Orange County, California",8
1400000US06059021802,6059021802,"Census Tract 218.02, Orange County, California",9.5
1400000US06059021807,6059021807,"Census Tract 218.07, Orange County, California",7.8
1400000US06059021809,6059021809,"Census Tract 218.09, Orange County, California",2.9
1400000US06059021810,6059021810,"Census Tract 218.10, Orange County, California",4.9
1400000US06059021812,6059021812,"Census Tract 218.12, Orange County, California",2.5
1400000US06059021813,6059021813,"Census Tract 218.13, Orange County, California",0
1400000US06059021814,6059021814,"Census Tract 218.14, Orange County, California",4.4
1400000US06059021815,6059021815,"Census Tract 218.15, Orange County, California",2.6
1400000US06059021816,6059021816,"Census Tract 218.16, Orange County, California",4.5
1400000US06059021817,6059021817,"Census Tract 218.17, Orange County, California",4.8
1400000US06059021820,6059021820,"Census Tract 218.20, Orange County, California",2.7
1400000US06059021821,6059021821,"Census Tract 218.21, Orange County, California",7.8
1400000US06059021822,6059021822,"Census Tract 218.22, Orange County, California",2.4
1400000US06059021823,6059021823,"Census Tract 218.23, Orange County, California",6
1400000US06059021824,6059021824,"Census Tract 218.24, Orange County, California",2.7
1400000US06059021825,6059021825,"Census Tract 218.25, Orange County, California",4.2
1400000US06059021826,6059021826,"Census Tract 218.26, Orange County, California",2.4
1400000US06059021827,6059021827,"Census Tract 218.27, Orange County, California",9.3
