"","datetime","NW of Claremont Village","AQI"
"1",2019-12-02 08:00:00,1.691,7
"2",2019-12-02 09:00:00,0.753833333333333,3
"3",2019-12-02 10:00:00,0.357,1
"4",2019-12-02 11:00:00,0.062,0
"5",2019-12-02 12:00:00,0.0493333333333333,0
"6",2019-12-02 13:00:00,0.0378333333333333,0
"7",2019-12-02 14:00:00,0.074,0
"8",2019-12-02 15:00:00,0.154666666666667,1
"9",2019-12-02 16:00:00,0.6065,3
"10",2019-12-02 17:00:00,1.40342105263158,6
"11",2019-12-02 18:00:00,3.20777777777778,13
"12",2019-12-02 19:00:00,2.45033333333333,10
"13",2019-12-02 20:00:00,2.0245,8
"14",2019-12-02 21:00:00,1.70883333333333,7
"15",2019-12-02 22:00:00,1.227,5
"16",2019-12-02 23:00:00,1.62433333333333,7
"17",2019-12-03 00:00:00,1.20316666666667,5
"18",2019-12-03 01:00:00,1.667,7
"19",2019-12-03 02:00:00,1.82466666666667,8
"20",2019-12-03 03:00:00,1.98366666666667,8
"21",2019-12-03 04:00:00,1.76916666666667,7
"22",2019-12-03 05:00:00,1.63183333333333,7
"23",2019-12-03 06:00:00,1.13166666666667,5
"24",2019-12-03 07:00:00,0.607166666666667,3
"25",2019-12-03 08:00:00,0.315666666666667,1
"26",2019-12-03 09:00:00,0.266666666666667,1
"27",2019-12-03 10:00:00,0.7065,3
"28",2019-12-03 11:00:00,2.22216666666667,9
"29",2019-12-03 12:00:00,NA,NA
"30",2019-12-03 13:00:00,NA,NA
"31",2019-12-03 14:00:00,NA,NA
"32",2019-12-03 15:00:00,3.1345,13
"33",2019-12-03 16:00:00,2.19866666666667,9
"34",2019-12-03 17:00:00,2.8,12
"35",2019-12-03 18:00:00,2.258,9
"36",2019-12-03 19:00:00,3.16616666666667,13
"37",2019-12-03 20:00:00,4.28016666666667,18
"38",2019-12-03 21:00:00,4.68366666666667,20
"39",2019-12-03 22:00:00,6.207,26
"40",2019-12-03 23:00:00,6.765,28
"41",2019-12-04 00:00:00,7.79816666666667,32
"42",2019-12-04 01:00:00,8.25966666666667,34
"43",2019-12-04 02:00:00,7.4085,31
"44",2019-12-04 03:00:00,6.00833333333333,25
"45",2019-12-04 04:00:00,5.23466666666667,22
"46",2019-12-04 05:00:00,4.761,20
"47",2019-12-04 06:00:00,4.25733333333333,18
"48",2019-12-04 07:00:00,3.5155,15
"49",2019-12-04 08:00:00,3.1245,13
"50",2019-12-04 09:00:00,2.8325,12
"51",2019-12-04 10:00:00,2.97083333333333,12
"52",2019-12-04 11:00:00,3.283,14
"53",2019-12-04 12:00:00,4.248,18
"54",2019-12-04 13:00:00,4.38183333333333,18
"55",2019-12-04 14:00:00,4.7145,20
"56",2019-12-04 15:00:00,4.98916666666667,21
"57",2019-12-04 16:00:00,5.7555,24
"58",2019-12-04 17:00:00,4.35516666666667,18
"59",2019-12-04 18:00:00,1.05783333333333,4
"60",2019-12-04 19:00:00,1.68,7
"61",2019-12-04 20:00:00,1.15033333333333,5
"62",2019-12-04 21:00:00,1.31283333333333,5
"63",2019-12-04 22:00:00,0.830666666666667,3
"64",2019-12-04 23:00:00,0.705166666666667,3
"65",2019-12-05 00:00:00,0.474833333333333,2
"66",2019-12-05 01:00:00,0.297666666666667,1
"67",2019-12-05 02:00:00,0.153,1
"68",2019-12-05 03:00:00,0.1505,1
"69",2019-12-05 04:00:00,0.383666666666667,2
"70",2019-12-05 05:00:00,0.49,2
"71",2019-12-05 06:00:00,0.874833333333333,4
"72",2019-12-05 07:00:00,1.735,7
"73",2019-12-05 08:00:00,2.37333333333333,10
"74",2019-12-05 09:00:00,2.088,9
"75",2019-12-05 10:00:00,2.189,9
"76",2019-12-05 11:00:00,2.47266666666667,10
"77",2019-12-05 12:00:00,2.05966666666667,9
"78",2019-12-05 13:00:00,1.49266666666667,6
"79",2019-12-05 14:00:00,1.96533333333333,8
"80",2019-12-05 15:00:00,1.53216666666667,6
"81",2019-12-05 16:00:00,1.229,5
"82",2019-12-05 17:00:00,0.859,4
"83",2019-12-05 18:00:00,0.741666666666667,3
"84",2019-12-05 19:00:00,0.8765,4
"85",2019-12-05 20:00:00,1.3165,5
"86",2019-12-05 21:00:00,1.0545,4
"87",2019-12-05 22:00:00,0.9665,4
"88",2019-12-05 23:00:00,1.17233333333333,5
"89",2019-12-06 00:00:00,1.01983333333333,4
"90",2019-12-06 01:00:00,0.8465,4
"91",2019-12-06 02:00:00,1.46466666666667,6
"92",2019-12-06 03:00:00,1.32416666666667,6
"93",2019-12-06 04:00:00,1.16166666666667,5
"94",2019-12-06 05:00:00,1.0415,4
"95",2019-12-06 06:00:00,0.952833333333333,4
"96",2019-12-06 07:00:00,0.7275,3
"97",2019-12-06 08:00:00,0.6025,3
"98",2019-12-06 09:00:00,0.424666666666667,2
"99",2019-12-06 10:00:00,0.253833333333333,1
"100",2019-12-06 11:00:00,0.1855,1
"101",2019-12-06 12:00:00,0.461833333333333,2
"102",2019-12-06 13:00:00,NA,NA
"103",2019-12-06 14:00:00,2.45733333333333,10
"104",2019-12-06 15:00:00,3.531,15
"105",2019-12-06 16:00:00,NA,NA
"106",2019-12-06 17:00:00,0.824666666666667,3
"107",2019-12-06 18:00:00,0.608333333333333,3
"108",2019-12-06 19:00:00,0.7015,3
"109",2019-12-06 20:00:00,0.874333333333333,4
"110",2019-12-06 21:00:00,0.64,3
"111",2019-12-06 22:00:00,1.15283333333333,5
