"","ID","label","DEVICE_LOCATIONTYPE","THINGSPEAK_PRIMARY_ID","THINGSPEAK_PRIMARY_ID_READ_KEY","THINGSPEAK_SECONDARY_ID","THINGSPEAK_SECONDARY_ID_READ_KEY","latitude","longitude","pm25","lastSeenDate","sensorType","flag_hidden","isOwner","humidity","temperature","pressure","age","parentID","flag_highValue","flag_attenuation_hardware","Voc","Ozone1","pm25_current","pm25_10min","pm25_30min","pm25_1hr","pm25_6hr","pm25_1day","pm25_1week","statsLastModifiedDate","statsLastModifiedInterval","countryCode","stateCode","timezone","airDistrict","pwfsl_closestDistance","pwfsl_closestMonitorID","sensorManufacturer","targetPollutant","technologyType","communityRegion"
"1","29215","AirHead","outside","735098","B6A0KMLA0T41CL9R","735100","WEHZK5ZDO21KP5EF",34.072166,-117.749625,6.79,2019-12-20 15:59:29,"PMS5003+PMS5003+BME280",FALSE,0,42,55,990.82,1,NA,NA,NA,NA,NA,6.79,5.08,4.8,5.35,10.1,10.59,14.43,2019-12-20 15:59:29,120.054,"US","CA","America/Los_Angeles","South Coast",11651.8118173059,"060711004_01","Purple Air","PM","consumer-grade",NA
"2","29191","AQMD_NASA_261","outside","735051","R5KMAJ2I0L2FO2L6","735053","8SK6XYJH1ZLFL6BZ",34.117691,-117.746524,1.79,2019-12-20 16:00:56,"PMS5003+PMS5003+BME280",FALSE,0,33,57,978.66,0,NA,NA,NA,NA,NA,1.79,1.9,1.83,2.12,5.53,6.83,10.73,2019-12-20 16:00:56,119.993,"US","CA","America/Los_Angeles","South Coast",10041.7686633973,"060370016_01","Purple Air","PM","consumer-grade",NA
"3","6770","AQMD_NASA_48","outside","414888","LNRWFKWSD2CDYE5P","414889","WAP8ASZL6ZWGTU3E",34.104089,-117.746679,2.51,2019-12-20 15:59:10,"PMS5003+PMS5003+BME280",FALSE,0,36,56,983.35,1,NA,NA,NA,NA,NA,2.51,2.72,3.49,4.42,9.7,10.41,14.16,2019-12-20 15:59:10,119.996,"US","CA","America/Los_Angeles","South Coast",10569.0941027911,"060370016_01","Purple Air","PM","consumer-grade",NA
"4","1648","BikeSGV Pomona",NA,"276815","8TT0JHDVHUHI2V4U","276816","5Y0S5JSX8OUCD24L",34.104334,-117.743445,3.23,2019-12-20 16:00:00,"PMS5003+PMS5003+BME280",FALSE,0,34,58,981.86,1,NA,TRUE,NA,NA,NA,3.23,2.89,2.47,2.87,7.96,9.2,13.8,2019-12-20 16:00:00,119.988,"US","CA","America/Los_Angeles","South Coast",10540.3742244058,"060711004_01","Purple Air","PM","consumer-grade",NA
"5","2766","Claremont_01","outside","315957","R5992WOE3OUQ8APT","315958","RYVUZDG6U17F6VVT",34.125368,-117.726098,2.28,2019-12-20 16:00:51,"PMS5003+PMS5003+BME280",FALSE,0,37,55,974.16,0,NA,TRUE,NA,NA,NA,2.28,8.91,6.11,4.24,4.63,6.01,9.8,2019-12-20 16:00:51,120,"US","CA","America/Los_Angeles","South Coast",9260.87798996702,"060711004_01","Purple Air","PM","consumer-grade",NA
"6","14311","North Upland","outside","554610","KWYKXXPC0232P72F","554611","EUIJGNJQ5GDL2716",34.142913,-117.672854,0.64,2019-12-20 16:00:09,"PMS5003+PMS5003+BME280",FALSE,0,26,65,956.04,0,NA,TRUE,NA,NA,NA,0.64,0.65,0.49,0.5,1.83,3.4,6.48,2019-12-20 16:00:09,123.773,"US","CA","America/Los_Angeles","South Coast",5945.95852302532,"060711004_01","Purple Air","PM","consumer-grade",NA
"7","32537","NW of Claremont Village","outside","790880","WUFE8CF59VF6ADRE","790881","ET90JG84F46ZI76F",34.106646,-117.72357,5.94,2019-12-20 16:00:55,"PMS5003+PMS5003+BME280",FALSE,0,26,63,980.46,0,NA,NA,NA,NA,NA,5.94,4.41,3.06,2.93,5.82,7.06,8.52,2019-12-20 16:00:55,120.035,"US","CA","America/Los_Angeles","South Coast",8714.35412526876,"060711004_01","Purple Air","PM","consumer-grade",NA
"8","33005","OHA_011","outside","799085","RE8XTVUX60BTAUVA","799086","66ZA4KU4BZCCB8RU",34.089773,-117.697161,6.21,2019-12-20 15:59:22,"PMS5003+PMS5003+BME280",FALSE,0,23,70,983.29,1,NA,NA,NA,NA,NA,6.21,5.36,5.24,5.8,12.77,30.91,22.54,2019-12-20 15:59:22,119.999,"US","CA","America/Los_Angeles","South Coast",6462.05751144339,"060711004_01","Purple Air","PM","consumer-grade",NA
"9","29229","Piedmond Mesa Claremont","outside","735128","WHJI3TXB4GIF2TRS","735129","XKDT3ECLB5L4CGDG",34.114777,-117.747759,1.3,2019-12-20 16:00:56,"PMS5003+PMS5003+BME280",FALSE,0,35,58,979.47,0,NA,NA,NA,NA,NA,1.3,1.62,2.08,2.78,6.58,8.03,12.1,2019-12-20 16:00:56,119.952,"US","CA","America/Los_Angeles","South Coast",10033.1611276243,"060370016_01","Purple Air","PM","consumer-grade",NA
"10","35017","Roberts Environmental Center","outside","826062","TXDS018C2Q5NI5CE","826063","7GQ3JVDUBTCZBRZN",34.101792,-117.709791,2.44,2019-12-20 16:00:58,"PMS5003+PMS5003+BME280",FALSE,0,30,60,980.4,0,NA,NA,NA,NA,NA,2.44,2.99,2.77,3.05,6.17,7.02,9.3,2019-12-20 16:00:58,120.165,"US","CA","America/Los_Angeles","South Coast",7441.07128688386,"060711004_01","Purple Air","PM","consumer-grade",NA
