ObjectID,datetime,PM2.5,AQI,latitude,longitude
99,12/19/19 8:30,28.9671429,86,34.072166,-117.74963
291,12/19/19 8:30,8.13571429,34,34.117691,-117.74652
483,12/19/19 8:30,11.779375,49,34.104089,-117.74668
675,12/19/19 8:30,8.930625,37,34.104334,-117.74345
867,12/19/19 8:30,3.383125,14,34.125368,-117.7261
1059,12/19/19 8:30,0.858125,4,34.142913,-117.67285
1251,12/19/19 8:30,2.381875,10,34.106646,-117.72357
1374,12/19/19 8:30,3.52214286,15,34.089773,-117.69716
1544,12/19/19 8:30,9.56651786,40,34.114777,-117.74776
1736,12/19/19 8:30,7.975,33,34.101792,-117.70979
1928,12/19/19 8:30,2.889375,12,34.136145,-117.65941
