ObjectID,datetime,PM2.5,AQI,latitude,longitude
129,12/19/19 16:00,12.08642857,50,34.072166,-117.749625
321,12/19/19 16:00,6.141428571,26,34.117691,-117.746524
513,12/19/19 16:00,10.14142857,42,34.104089,-117.746679
705,12/19/19 16:00,9.09,38,34.104334,-117.743445
897,12/19/19 16:00,3.985625,17,34.125368,-117.726098
1089,12/19/19 16:00,0.236875,1,34.142913,-117.672854
1281,12/19/19 16:00,7.632857143,32,34.106646,-117.72357
1404,12/19/19 16:00,3.643571429,15,34.089773,-117.697161
1574,12/19/19 16:00,5.940178571,25,34.114777,-117.747759
1766,12/19/19 16:00,8.517142857,35,34.101792,-117.709791
1958,12/19/19 16:00,0.536875,2,34.136145,-117.659406
130,12/19/19 16:15,13.043125,53,34.072166,-117.749625
322,12/19/19 16:15,6.2275,26,34.117691,-117.746524
514,12/19/19 16:15,8.37125,35,34.104089,-117.746679
706,12/19/19 16:15,7.172857143,30,34.104334,-117.743445
898,12/19/19 16:15,3.626428571,15,34.125368,-117.726098
1090,12/19/19 16:15,0.495714286,2,34.142913,-117.672854
1282,12/19/19 16:15,6.443392857,27,34.106646,-117.72357
1405,12/19/19 16:15,3.105625,13,34.089773,-117.697161
1575,12/19/19 16:15,5.188571429,22,34.114777,-117.747759
1767,12/19/19 16:15,5.245625,22,34.101792,-117.709791
1959,12/19/19 16:15,1.607142857,7,34.136145,-117.659406
131,12/19/19 16:30,15.70642857,59,34.072166,-117.749625
323,12/19/19 16:30,4.995535714,21,34.117691,-117.746524
515,12/19/19 16:30,5.411428571,23,34.104089,-117.746679
707,12/19/19 16:30,5.02875,21,34.104334,-117.743445
899,12/19/19 16:30,3.82375,16,34.125368,-117.726098
1091,12/19/19 16:30,0.57875,2,34.142913,-117.672854
1283,12/19/19 16:30,5.415178571,23,34.106646,-117.72357
1406,12/19/19 16:30,2.882142857,12,34.089773,-117.697161
1576,12/19/19 16:30,4.630446429,19,34.114777,-117.747759
1768,12/19/19 16:30,4.936428571,21,34.101792,-117.709791
1960,12/19/19 16:30,1.855625,8,34.136145,-117.659406
132,12/19/19 16:45,15.488125,58,34.072166,-117.749625
324,12/19/19 16:45,4.129017857,17,34.117691,-117.746524
516,12/19/19 16:45,7.1025,30,34.104089,-117.746679
708,12/19/19 16:45,6.895714286,29,34.104334,-117.743445
900,12/19/19 16:45,3.280714286,14,34.125368,-117.726098
1092,12/19/19 16:45,1.423571429,6,34.142913,-117.672854
1284,12/19/19 16:45,5.927321429,25,34.106646,-117.72357
1407,12/19/19 16:45,14.28714286,56,34.089773,-117.697161
1577,12/19/19 16:45,4.775446429,20,34.114777,-117.747759
1769,12/19/19 16:45,5.516517857,23,34.101792,-117.709791
1961,12/19/19 16:45,2.183571429,9,34.136145,-117.659406
133,12/19/19 17:00,14.03428571,55,34.072166,-117.749625
325,12/19/19 17:00,5.399642857,22,34.117691,-117.746524
517,12/19/19 17:00,7.322142857,31,34.104089,-117.746679
709,12/19/19 17:00,7.03125,29,34.104334,-117.743445
901,12/19/19 17:00,3.715,15,34.125368,-117.726098
1093,12/19/19 17:00,1.915625,8,34.142913,-117.672854
1285,12/19/19 17:00,6.572232143,27,34.106646,-117.72357
1408,12/19/19 17:00,14.25169643,56,34.089773,-117.697161
1578,12/19/19 17:00,5.915357143,25,34.114777,-117.747759
1770,12/19/19 17:00,9.405714286,39,34.101792,-117.709791
1962,12/19/19 17:00,2.475625,10,34.136145,-117.659406
134,12/19/19 17:15,15.519375,58,34.072166,-117.749625
326,12/19/19 17:15,5.914464286,25,34.117691,-117.746524
518,12/19/19 17:15,7.4275,31,34.104089,-117.746679
710,12/19/19 17:15,7.222857143,30,34.104334,-117.743445
902,12/19/19 17:15,6.063571429,25,34.125368,-117.726098
1094,12/19/19 17:15,2.007142857,8,34.142913,-117.672854
1286,12/19/19 17:15,7.411517857,31,34.106646,-117.72357
1579,12/19/19 17:15,6.576785714,27,34.114777,-117.747759
1771,12/19/19 17:15,8.928125,37,34.101792,-117.709791
1963,12/19/19 17:15,2.267142857,9,34.136145,-117.659406
135,12/19/19 17:30,12.365,52,34.072166,-117.749625
327,12/19/19 17:30,6.201339286,26,34.117691,-117.746524
519,12/19/19 17:30,7.822142857,33,34.104089,-117.746679
711,12/19/19 17:30,7.956875,33,34.104334,-117.743445
903,12/19/19 17:30,6.699375,28,34.125368,-117.726098
1095,12/19/19 17:30,2.25125,9,34.142913,-117.672854
1287,12/19/19 17:30,6.057946429,25,34.106646,-117.72357
1409,12/19/19 17:30,NA,NA,34.089773,-117.697161
1580,12/19/19 17:30,6.956785714,29,34.114777,-117.747759
1772,12/19/19 17:30,7.897142857,33,34.101792,-117.709791
1964,12/19/19 17:30,2.663125,11,34.136145,-117.659406
136,12/19/19 17:45,14.058125,55,34.072166,-117.749625
328,12/19/19 17:45,7.183571429,30,34.117691,-117.746524
520,12/19/19 17:45,7.676875,32,34.104089,-117.746679
712,12/19/19 17:45,7.918571429,33,34.104334,-117.743445
904,12/19/19 17:45,6.614285714,28,34.125368,-117.726098
1096,12/19/19 17:45,2.639285714,11,34.142913,-117.672854
1288,12/19/19 17:45,6.822142857,28,34.106646,-117.72357
1581,12/19/19 17:45,7.397053571,31,34.114777,-117.747759
1773,12/19/19 17:45,7.0625,29,34.101792,-117.709791
1965,12/19/19 17:45,3.578571429,15,34.136145,-117.659406
137,12/19/19 18:00,15.635,58,34.072166,-117.749625
329,12/19/19 18:00,6.985803571,29,34.117691,-117.746524
521,12/19/19 18:00,11.12714286,46,34.104089,-117.746679
713,12/19/19 18:00,10.664375,44,34.104334,-117.743445
905,12/19/19 18:00,6.7075,28,34.125368,-117.726098
1097,12/19/19 18:00,2.793125,12,34.142913,-117.672854
1289,12/19/19 18:00,6.594107143,27,34.106646,-117.72357
1582,12/19/19 18:00,7.574464286,32,34.114777,-117.747759
1774,12/19/19 18:00,8.168571429,34,34.101792,-117.709791
1966,12/19/19 18:00,5.150625,21,34.136145,-117.659406
138,12/19/19 18:15,14.93375,57,34.072166,-117.749625
330,12/19/19 18:15,10.08901786,42,34.117691,-117.746524
522,12/19/19 18:15,14.49875,56,34.104089,-117.746679
714,12/19/19 18:15,14.95071429,57,34.104334,-117.743445
906,12/19/19 18:15,7.34,31,34.125368,-117.726098
