ObjectID,datetime,PM2.5,AQI,latitude,longitude
91,12/19/19 6:30,19.83571429,67,34.072166,-117.749625
283,12/19/19 6:30,7.892946429,33,34.117691,-117.746524
475,12/19/19 6:30,15.6125,58,34.104089,-117.746679
667,12/19/19 6:30,17.601875,63,34.104334,-117.743445
859,12/19/19 6:30,7.823125,33,34.125368,-117.726098
1051,12/19/19 6:30,0.979375,4,34.142913,-117.672854
1243,12/19/19 6:30,5.485892857,23,34.106646,-117.72357
1366,12/19/19 6:30,3.500714286,15,34.089773,-117.697161
1536,12/19/19 6:30,11.88482143,50,34.114777,-117.747759
1728,12/19/19 6:30,9.54875,40,34.101792,-117.709791
1920,12/19/19 6:30,1.181875,5,34.136145,-117.659406
92,12/19/19 6:45,15.08375,57,34.072166,-117.749625
284,12/19/19 6:45,7.278035714,30,34.117691,-117.746524
476,12/19/19 6:45,14.145,55,34.104089,-117.746679
668,12/19/19 6:45,11.358125,47,34.104334,-117.743445
860,12/19/19 6:45,7.106428571,30,34.125368,-117.726098
1052,12/19/19 6:45,1.095,5,34.142913,-117.672854
1244,12/19/19 6:45,5.696071429,24,34.106646,-117.72357
1367,12/19/19 6:45,2.995,12,34.089773,-117.697161
1537,12/19/19 6:45,18.42580357,64,34.114777,-117.747759
1729,12/19/19 6:45,7.199285714,30,34.101792,-117.709791
1921,12/19/19 6:45,1.090714286,5,34.136145,-117.659406
93,12/19/19 7:00,13.11,53,34.072166,-117.749625
285,12/19/19 7:00,8.067946429,34,34.117691,-117.746524
477,12/19/19 7:00,12.431875,52,34.104089,-117.746679
669,12/19/19 7:00,11.78857143,49,34.104334,-117.743445
861,12/19/19 7:00,7.49875,31,34.125368,-117.726098
1053,12/19/19 7:00,1.374375,6,34.142913,-117.672854
1245,12/19/19 7:00,5.282410714,22,34.106646,-117.72357
1368,12/19/19 7:00,2.972142857,12,34.089773,-117.697161
1538,12/19/19 7:00,10.33919643,43,34.114777,-117.747759
1730,12/19/19 7:00,7.754375,32,34.101792,-117.709791
1922,12/19/19 7:00,1.278125,5,34.136145,-117.659406
94,12/19/19 7:15,19.701875,67,34.072166,-117.749625
286,12/19/19 7:15,8.354196429,35,34.117691,-117.746524
478,12/19/19 7:15,12.22928571,51,34.104089,-117.746679
670,12/19/19 7:15,11.13,46,34.104334,-117.743445
862,12/19/19 7:15,7.298571429,30,34.125368,-117.726098
1054,12/19/19 7:15,1.230714286,5,34.142913,-117.672854
1246,12/19/19 7:15,5.072767857,21,34.106646,-117.72357
1369,12/19/19 7:15,2.999375,12,34.089773,-117.697161
1539,12/19/19 7:15,20.25080357,68,34.114777,-117.747759
1731,12/19/19 7:15,4.785714286,20,34.101792,-117.709791
1923,12/19/19 7:15,3.527857143,15,34.136145,-117.659406
95,12/19/19 7:30,24.05642857,76,34.072166,-117.749625
287,12/19/19 7:30,11.39098214,47,34.117691,-117.746524
479,12/19/19 7:30,9.714375,40,34.104089,-117.746679
671,12/19/19 7:30,8.135,34,34.104334,-117.743445
863,12/19/19 7:30,6.801875,28,34.125368,-117.726098
1055,12/19/19 7:30,1.223125,5,34.142913,-117.672854
1247,12/19/19 7:30,4.670535714,19,34.106646,-117.72357
1370,12/19/19 7:30,2.905714286,12,34.089773,-117.697161
1540,12/19/19 7:30,16.88678571,61,34.114777,-117.747759
1732,12/19/19 7:30,5.189375,22,34.101792,-117.709791
1924,12/19/19 7:30,4.465,19,34.136145,-117.659406
96,12/19/19 7:45,21.90125,72,34.072166,-117.749625
288,12/19/19 7:45,9.503928571,40,34.117691,-117.746524
480,12/19/19 7:45,10.40785714,43,34.104089,-117.746679
672,12/19/19 7:45,9.474375,39,34.104334,-117.743445
864,12/19/19 7:45,5.844285714,24,34.125368,-117.726098
1056,12/19/19 7:45,0.917857143,4,34.142913,-117.672854
1248,12/19/19 7:45,3.844017857,16,34.106646,-117.72357
1371,12/19/19 7:45,2.785625,12,34.089773,-117.697161
1541,12/19/19 7:45,12.53491071,52,34.114777,-117.747759
1733,12/19/19 7:45,4.89,20,34.101792,-117.709791
1925,12/19/19 7:45,4.452857143,19,34.136145,-117.659406
97,12/19/19 8:00,35.70071429,101,34.072166,-117.749625
289,12/19/19 8:00,7.558660714,31,34.117691,-117.746524
481,12/19/19 8:00,10.588125,44,34.104089,-117.746679
673,12/19/19 8:00,9.658303571,40,34.104334,-117.743445
865,12/19/19 8:00,4.30375,18,34.125368,-117.726098
1057,12/19/19 8:00,0.93125,4,34.142913,-117.672854
1249,12/19/19 8:00,4.82875,20,34.106646,-117.72357
1372,12/19/19 8:00,3.052857143,13,34.089773,-117.697161
1542,12/19/19 8:00,11.80553571,49,34.114777,-117.747759
1734,12/19/19 8:00,4.046875,17,34.101792,-117.709791
1926,12/19/19 8:00,5.835,24,34.136145,-117.659406
98,12/19/19 8:15,27.746875,84,34.072166,-117.749625
290,12/19/19 8:15,12.23830357,51,34.117691,-117.746524
482,12/19/19 8:15,10.39142857,43,34.104089,-117.746679
674,12/19/19 8:15,10.28571429,43,34.104334,-117.743445
866,12/19/19 8:15,2.893571429,12,34.125368,-117.726098
1058,12/19/19 8:15,0.765714286,3,34.142913,-117.672854
1250,12/19/19 8:15,2.912142857,12,34.106646,-117.72357
1373,12/19/19 8:15,3.283125,14,34.089773,-117.697161
1543,12/19/19 8:15,13.95330357,55,34.114777,-117.747759
1735,12/19/19 8:15,3.810714286,16,34.101792,-117.709791
1927,12/19/19 8:15,5.172142857,22,34.136145,-117.659406
99,12/19/19 8:30,28.96714286,86,34.072166,-117.749625
291,12/19/19 8:30,8.135714286,34,34.117691,-117.746524
483,12/19/19 8:30,11.779375,49,34.104089,-117.746679
675,12/19/19 8:30,8.930625,37,34.104334,-117.743445
867,12/19/19 8:30,3.383125,14,34.125368,-117.726098
1059,12/19/19 8:30,0.858125,4,34.142913,-117.672854
1251,12/19/19 8:30,2.381875,10,34.106646,-117.72357
1374,12/19/19 8:30,3.522142857,15,34.089773,-117.697161
1544,12/19/19 8:30,9.566517857,40,34.114777,-117.747759
1736,12/19/19 8:30,7.975,33,34.101792,-117.709791
1928,12/19/19 8:30,2.889375,12,34.136145,-117.659406
100,12/19/19 8:45,33.380625,96,34.072166,-117.749625
292,12/19/19 8:45,5.315089286,22,34.117691,-117.746524
484,12/19/19 8:45,9.781428571,41,34.104089,-117.746679
676,12/19/19 8:45,8.267142857,34,34.104334,-117.743445
868,12/19/19 8:45,2.956428571,12,34.125368,-117.726098
1060,12/19/19 8:45,0.942142857,4,34.142913,-117.672854
1252,12/19/19 8:45,2.204285714,9,34.106646,-117.72357
1375,12/19/19 8:45,3.836875,16,34.089773,-117.697161
1545,12/19/19 8:45,5.688303571,24,34.114777,-117.747759
1737,12/19/19 8:45,7.122857143,30,34.101792,-117.709791
1929,12/19/19 8:45,1.204285714,5,34.136145,-117.659406
101,12/19/19 9:00,27.58714286,84,34.072166,-117.749625
293,12/19/19 9:00,5.19,22,34.117691,-117.746524
485,12/19/19 9:00,9.0875,38,34.104089,-117.746679
677,12/19/19 9:00,7.395714286,31,34.104334,-117.743445
869,12/19/19 9:00,3.336875,14,34.125368,-117.726098
1061,12/19/19 9:00,1.160625,5,34.142913,-117.672854
1253,12/19/19 9:00,2.351785714,10,34.106646,-117.72357
1376,12/19/19 9:00,3.501428571,15,34.089773,-117.697161
1546,12/19/19 9:00,5.402053571,23,34.114777,-117.747759
1738,12/19/19 9:00,7.178125,30,34.101792,-117.709791
1930,12/19/19 9:00,1.11875,5,34.136145,-117.659406
102,12/19/19 9:15,28.123125,85,34.072166,-117.749625
294,12/19/19 9:15,5.018928571,21,34.117691,-117.746524
486,12/19/19 9:15,9.365714286,39,34.104089,-117.746679
678,12/19/19 9:15,5.763571429,24,34.104334,-117.743445
870,12/19/19 9:15,3.469285714,14,34.125368,-117.726098
1062,12/19/19 9:15,1.07,4,34.142913,-117.672854
1254,12/19/19 9:15,2.282767857,10,34.106646,-117.72357
1377,12/19/19 9:15,2.48,10,34.089773,-117.697161
1547,12/19/19 9:15,5.440625,23,34.114777,-117.747759
1739,12/19/19 9:15,6.736547619,28,34.101792,-117.709791
1931,12/19/19 9:15,3.869285714,16,34.136145,-117.659406
103,12/19/19 9:30,23.86857143,76,34.072166,-117.749625
295,12/19/19 9:30,4.865714286,20,34.117691,-117.746524
487,12/19/19 9:30,7.37625,31,34.104089,-117.746679
679,12/19/19 9:30,3.799375,16,34.104334,-117.743445
871,12/19/19 9:30,3.073125,13,34.125368,-117.726098
1063,12/19/19 9:30,1.034375,4,34.142913,-117.672854
1255,12/19/19 9:30,4.287321429,18,34.106646,-117.72357
1378,12/19/19 9:30,2.366428571,10,34.089773,-117.697161
1548,12/19/19 9:30,5.616875,23,34.114777,-117.747759
1740,12/19/19 9:30,8.547410714,36,34.101792,-117.709791
1932,12/19/19 9:30,3.150625,13,34.136145,-117.659406
