ObjectID,datetime,PM2.5,AQI,latitude,longitude
107,12/19/19 10:30,13.16857143,53,34.072166,-117.749625
299,12/19/19 10:30,3.799196429,16,34.117691,-117.746524
491,12/19/19 10:30,4.2325,18,34.104089,-117.746679
683,12/19/19 10:30,4.039375,17,34.104334,-117.743445
875,12/19/19 10:30,2.878125,12,34.125368,-117.726098
1067,12/19/19 10:30,1.24875,5,34.142913,-117.672854
1259,12/19/19 10:30,4.099375,17,34.106646,-117.72357
1382,12/19/19 10:30,2.105714286,9,34.089773,-117.697161
1552,12/19/19 10:30,3.806071429,16,34.114777,-117.747759
1744,12/19/19 10:30,7.99,33,34.101792,-117.709791
1936,12/19/19 10:30,4.31375,18,34.136145,-117.659406
108,12/19/19 10:45,12.253125,51,34.072166,-117.749625
300,12/19/19 10:45,3.890625,16,34.117691,-117.746524
492,12/19/19 10:45,3.832857143,16,34.104089,-117.746679
684,12/19/19 10:45,3.151160714,13,34.104334,-117.743445
876,12/19/19 10:45,3.26,14,34.125368,-117.726098
1068,12/19/19 10:45,1.285714286,5,34.142913,-117.672854
1260,12/19/19 10:45,2.619017857,11,34.106646,-117.72357
1383,12/19/19 10:45,2.494375,10,34.089773,-117.697161
1553,12/19/19 10:45,3.635535714,15,34.114777,-117.747759
1745,12/19/19 10:45,7.312142857,30,34.101792,-117.709791
1937,12/19/19 10:45,3.691428571,15,34.136145,-117.659406
109,12/19/19 11:00,11.06142857,46,34.072166,-117.749625
301,12/19/19 11:00,4.576160714,19,34.117691,-117.746524
493,12/19/19 11:00,4.24875,18,34.104089,-117.746679
685,12/19/19 11:00,3.571071429,15,34.104334,-117.743445
877,12/19/19 11:00,4.465625,19,34.125368,-117.726098
1069,12/19/19 11:00,1.130625,5,34.142913,-117.672854
1261,12/19/19 11:00,2.821428571,12,34.106646,-117.72357
1384,12/19/19 11:00,2.535714286,11,34.089773,-117.697161
1554,12/19/19 11:00,3.727321429,16,34.114777,-117.747759
1746,12/19/19 11:00,5.115625,21,34.101792,-117.709791
1938,12/19/19 11:00,3.44625,14,34.136145,-117.659406
110,12/19/19 11:15,8.050625,34,34.072166,-117.749625
302,12/19/19 11:15,4.865535714,20,34.117691,-117.746524
494,12/19/19 11:15,6.182857143,26,34.104089,-117.746679
686,12/19/19 11:15,4.542857143,19,34.104334,-117.743445
878,12/19/19 11:15,5.27,22,34.125368,-117.726098
1070,12/19/19 11:15,0.972857143,4,34.142913,-117.672854
1262,12/19/19 11:15,2.796696429,12,34.106646,-117.72357
1385,12/19/19 11:15,2.963125,12,34.089773,-117.697161
1555,12/19/19 11:15,4.766160714,20,34.114777,-117.747759
1747,12/19/19 11:15,2.815,12,34.101792,-117.709791
1939,12/19/19 11:15,3.661428571,15,34.136145,-117.659406
111,12/19/19 11:30,6.259285714,26,34.072166,-117.749625
303,12/19/19 11:30,5.434107143,23,34.117691,-117.746524
495,12/19/19 11:30,7.308125,30,34.104089,-117.746679
687,12/19/19 11:30,5.258125,22,34.104334,-117.743445
879,12/19/19 11:30,5.31875,22,34.125368,-117.726098
1071,12/19/19 11:30,1.1575,5,34.142913,-117.672854
1263,12/19/19 11:30,2.196875,9,34.106646,-117.72357
1386,12/19/19 11:30,3.032142857,13,34.089773,-117.697161
1556,12/19/19 11:30,5.437857143,23,34.114777,-117.747759
1748,12/19/19 11:30,2.85875,12,34.101792,-117.709791
1940,12/19/19 11:30,4.2875,18,34.136145,-117.659406
112,12/19/19 11:45,5.996875,25,34.072166,-117.749625
304,12/19/19 11:45,5.914017857,25,34.117691,-117.746524
496,12/19/19 11:45,8.622857143,36,34.104089,-117.746679
688,12/19/19 11:45,5.592857143,23,34.104334,-117.743445
880,12/19/19 11:45,5.187857143,22,34.125368,-117.726098
1072,12/19/19 11:45,1.041428571,4,34.142913,-117.672854
1264,12/19/19 11:45,2.651160714,11,34.106646,-117.72357
