ObjectID,datetime,PM2.5,AQI,latitude,longitude,,,,
1,12/18/19 8:00,3.18,13,34.072166,-117.749625,,,,
193,12/18/19 8:00,0.635,3,34.117691,-117.746524,,,,
385,12/18/19 8:00,0.595,2,34.104089,-117.746679,,,,
577,12/18/19 8:00,0.663392857,3,34.104334,-117.743445,,,,
769,12/18/19 8:00,0.07,0,34.125368,-117.726098,,,,
961,12/18/19 8:00,0.273125,1,34.142913,-117.672854,,,,
1153,12/18/19 8:00,1.619196429,7,34.106646,-117.72357,,,,
1446,12/18/19 8:00,0.416071429,2,34.114777,-117.747759,,,,
1638,12/18/19 8:00,0.316875,1,34.101792,-117.709791,,,,
1830,12/18/19 8:00,0.076875,0,34.136145,-117.659406,,,,
2,12/18/19 8:15,2.076875,9,34.072166,-117.749625,,,,
194,12/18/19 8:15,4.148125,17,34.117691,-117.746524,,,,
386,12/18/19 8:15,0.234285714,1,34.104089,-117.746679,,,,
578,12/18/19 8:15,0.143125,1,34.104334,-117.743445,,,,
770,12/18/19 8:15,0.022142857,0,34.125368,-117.726098,,,,
962,12/18/19 8:15,0.179285714,1,34.142913,-117.672854,,,,
1154,12/18/19 8:15,2.429375,10,34.106646,-117.72357,,,,
1447,12/18/19 8:15,0.116517857,0,34.114777,-117.747759,,,,
1639,12/18/19 8:15,0.48,2,34.101792,-117.709791,,,,
1831,12/18/19 8:15,0.12,0,34.136145,-117.659406,,,,
3,12/18/19 8:30,1.840714286,8,34.072166,-117.749625,,,,
195,12/18/19 8:30,2.659285714,11,34.117691,-117.746524,,,,
387,12/18/19 8:30,0.25125,1,34.104089,-117.746679,,,,
579,12/18/19 8:30,0.244375,1,34.104334,-117.743445,,,,
771,12/18/19 8:30,0.054375,0,34.125368,-117.726098,,,,
963,12/18/19 8:30,0.20125,1,34.142913,-117.672854,,,,
1155,12/18/19 8:30,2.84625,12,34.106646,-117.72357,,,,
1448,12/18/19 8:30,0.196696429,1,34.114777,-117.747759,,,,
1640,12/18/19 8:30,0.70875,3,34.101792,-117.709791,,,,
1832,12/18/19 8:30,0.598125,2,34.136145,-117.659406,,,,
4,12/18/19 8:45,1.73625,7,34.072166,-117.749625,,,,
196,12/18/19 8:45,1.666875,7,34.117691,-117.746524,,,,
388,12/18/19 8:45,0.354285714,1,34.104089,-117.746679,,,,
580,12/18/19 8:45,0.194375,1,34.104334,-117.743445,,,,
772,12/18/19 8:45,0.023571429,0,34.125368,-117.726098,,,,
964,12/18/19 8:45,0.587142857,2,34.142913,-117.672854,,,,
1156,12/18/19 8:45,3.755,16,34.106646,-117.72357,,,,
1449,12/18/19 8:45,0.261517857,1,34.114777,-117.747759,,,,
1641,12/18/19 8:45,0.760714286,3,34.101792,-117.709791,,,,
1833,12/18/19 8:45,0.582857143,2,34.136145,-117.659406,,,,
5,12/18/19 9:00,1.879285714,8,34.072166,-117.749625,,,,
197,12/18/19 9:00,5.202857143,22,34.117691,-117.746524,,,,
389,12/18/19 9:00,0.373125,2,34.104089,-117.746679,,,,
581,12/18/19 9:00,0.243035714,1,34.104334,-117.743445,,,,
773,12/18/19 9:00,0.0175,0,34.125368,-117.726098,,,,
965,12/18/19 9:00,1.11,5,34.142913,-117.672854,,,,
1157,12/18/19 9:00,1.181517857,5,34.106646,-117.72357,,,,
1450,12/18/19 9:00,0.422946429,2,34.114777,-117.747759,,,,
1642,12/18/19 9:00,0.793958333,3,34.101792,-117.709791,,,,
1834,12/18/19 9:00,0.095625,0,34.136145,-117.659406,,,,
6,12/18/19 9:15,2.633125,11,34.072166,-117.749625,,,,
198,12/18/19 9:15,3.035625,13,34.117691,-117.746524,,,,
390,12/18/19 9:15,0.507142857,2,34.104089,-117.746679,,,,
582,12/18/19 9:15,0.493928571,2,34.104334,-117.743445,,,,
774,12/18/19 9:15,0.009285714,0,34.125368,-117.726098,,,,
966,12/18/19 9:15,0.77,3,34.142913,-117.672854,,,,
1158,12/18/19 9:15,0.528839286,2,34.106646,-117.72357,,,,
1451,12/18/19 9:15,0.385357143,2,34.114777,-117.747759,,,,
1643,12/18/19 9:15,0.803392857,3,34.101792,-117.709791,,,,
1835,12/18/19 9:15,0.014285714,0,34.136145,-117.659406,,,,
7,12/18/19 9:30,3.655714286,15,34.072166,-117.749625,,,,
199,12/18/19 9:30,0.685714286,3,34.117691,-117.746524,,,,
391,12/18/19 9:30,0.726875,3,34.104089,-117.746679,,,,
583,12/18/19 9:30,0.789642857,3,34.104334,-117.743445,,,,
775,12/18/19 9:30,0.013125,0,34.125368,-117.726098,,,,
967,12/18/19 9:30,0.59375,2,34.142913,-117.672854,,,,
1159,12/18/19 9:30,0.744464286,3,34.106646,-117.72357,,,,
1452,12/18/19 9:30,0.289464286,1,34.114777,-117.747759,,,,
1644,12/18/19 9:30,0.84375,4,34.101792,-117.709791,,,,
1836,12/18/19 9:30,0.115,0,34.136145,-117.659406,,,,
8,12/18/19 9:45,8.34375,35,34.072166,-117.749625,,,,
200,12/18/19 9:45,1.713125,7,34.117691,-117.746524,,,,
392,12/18/19 9:45,0.870714286,4,34.104089,-117.746679,,,,
584,12/18/19 9:45,1.088928571,5,34.104334,-117.743445,,,,
776,12/18/19 9:45,0,0,34.125368,-117.726098,,,,
968,12/18/19 9:45,0.269285714,1,34.142913,-117.672854,,,,
1160,12/18/19 9:45,1.826607143,8,34.106646,-117.72357,,,,
1453,12/18/19 9:45,0.220446429,1,34.114777,-117.747759,,,,
1645,12/18/19 9:45,0.900714286,4,34.101792,-117.709791,,,,
1837,12/18/19 9:45,0.344285714,1,34.136145,-117.659406,,,,
9,12/18/19 10:00,14.01428571,55,34.072166,-117.749625,,,,
201,12/18/19 10:00,2.747857143,11,34.117691,-117.746524,,,,
393,12/18/19 10:00,0.870625,4,34.104089,-117.746679,,,,
585,12/18/19 10:00,0.822053571,3,34.104334,-117.743445,,,,
777,12/18/19 10:00,0.02375,0,34.125368,-117.726098,,,,
969,12/18/19 10:00,0.241875,1,34.142913,-117.672854,,,,
1161,12/18/19 10:00,0.97375,4,34.106646,-117.72357,,,,
1454,12/18/19 10:00,0.268928571,1,34.114777,-117.747759,,,,
1646,12/18/19 10:00,1.060625,4,34.101792,-117.709791,,,,
1838,12/18/19 10:00,0.011875,0,34.136145,-117.659406,,,,
10,12/18/19 10:15,10.250625,43,34.072166,-117.749625,,,,
202,12/18/19 10:15,1.41375,6,34.117691,-117.746524,,,,
394,12/18/19 10:15,0.987142857,4,34.104089,-117.746679,,,,
586,12/18/19 10:15,0.764821429,3,34.104334,-117.743445,,,,
778,12/18/19 10:15,0.000714286,0,34.125368,-117.726098,,,,
970,12/18/19 10:15,0.133571429,1,34.142913,-117.672854,,,,
1162,12/18/19 10:15,0.612142857,3,34.106646,-117.72357,,,,
1455,12/18/19 10:15,0.122321429,1,34.114777,-117.747759,,,,
1647,12/18/19 10:15,0.915714286,4,34.101792,-117.709791,,,,
1839,12/18/19 10:15,0.022142857,0,34.136145,-117.659406,,,,
11,12/18/19 10:30,3.188571429,13,34.072166,-117.749625,,,,
203,12/18/19 10:30,1.477857143,6,34.117691,-117.746524,,,,
395,12/18/19 10:30,1.034375,4,34.104089,-117.746679,,,,
587,12/18/19 10:30,1.245803571,5,34.104334,-117.743445,,,,
779,12/18/19 10:30,0,0,34.125368,-117.726098,,,,
971,12/18/19 10:30,0.093125,0,34.142913,-117.672854,,,,
1163,12/18/19 10:30,0.645357143,3,34.106646,-117.72357,,,,
1456,12/18/19 10:30,0.104464286,0,34.114777,-117.747759,,,,
1648,12/18/19 10:30,0.736875,3,34.101792,-117.709791,,,,
1840,12/18/19 10:30,0.0225,0,34.136145,-117.659406,,,,
12,12/18/19 10:45,1.910625,8,34.072166,-117.749625,,,,
204,12/18/19 10:45,0.156875,1,34.117691,-117.746524,,,,
396,12/18/19 10:45,0.741428571,3,34.104089,-117.746679,,,,
588,12/18/19 10:45,0.201517857,1,34.104334,-117.743445,,,,
780,12/18/19 10:45,0,0,34.125368,-117.726098,,,,
972,12/18/19 10:45,0.121428571,1,34.142913,-117.672854,,,,
1164,12/18/19 10:45,1.38125,6,34.106646,-117.72357,,,,
1457,12/18/19 10:45,0.147857143,1,34.114777,-117.747759,,,,
1649,12/18/19 10:45,0.609285714,3,34.101792,-117.709791,,,,
1841,12/18/19 10:45,0.013571429,0,34.136145,-117.659406,,,,
13,12/18/19 11:00,3.316428571,14,34.072166,-117.749625,,,,
205,12/18/19 11:00,1.572857143,7,34.117691,-117.746524,,,,
397,12/18/19 11:00,0.1925,1,34.104089,-117.746679,,,,
589,12/18/19 11:00,0.019375,0,34.104334,-117.743445,,,,
781,12/18/19 11:00,0.0025,0,34.125368,-117.726098,,,,
973,12/18/19 11:00,0.05375,0,34.142913,-117.672854,,,,
1165,12/18/19 11:00,0.942142857,4,34.106646,-117.72357,,,,
1458,12/18/19 11:00,0.172410714,1,34.114777,-117.747759,,,,
1650,12/18/19 11:00,0.41,2,34.101792,-117.709791,,,,
1842,12/18/19 11:00,0,0,34.136145,-117.659406,,,,
14,12/18/19 11:15,1.775625,7,34.072166,-117.749625,,,,
206,12/18/19 11:15,0.87625,4,34.117691,-117.746524,,,,
398,12/18/19 11:15,0.067857143,0,34.104089,-117.746679,,,,
590,12/18/19 11:15,0.022767857,0,34.104334,-117.743445,,,,
782,12/18/19 11:15,0,0,34.125368,-117.726098,,,,
974,12/18/19 11:15,0.037857143,0,34.142913,-117.672854,,,,
1166,12/18/19 11:15,0.922321429,4,34.106646,-117.72357,,,,
1459,12/18/19 11:15,0.273660714,1,34.114777,-117.747759,,,,
1651,12/18/19 11:15,0.357142857,1,34.101792,-117.709791,,,,
1843,12/18/19 11:15,0.008571429,0,34.136145,-117.659406,,,,
15,12/18/19 11:30,1.407142857,6,34.072166,-117.749625,,,,
207,12/18/19 11:30,0.936428571,4,34.117691,-117.746524,,,,
399,12/18/19 11:30,0.110625,0,34.104089,-117.746679,,,,
591,12/18/19 11:30,0.117053571,0,34.104334,-117.743445,,,,
783,12/18/19 11:30,0.014375,0,34.125368,-117.726098,,,,
975,12/18/19 11:30,0.068125,0,34.142913,-117.672854,,,,
1167,12/18/19 11:30,0.249821429,1,34.106646,-117.72357,,,,
1460,12/18/19 11:30,0.191160714,1,34.114777,-117.747759,,,,
1652,12/18/19 11:30,0.29375,1,34.101792,-117.709791,,,,
1844,12/18/19 11:30,0.01125,0,34.136145,-117.659406,,,,
16,12/18/19 11:45,1.08125,5,34.072166,-117.749625,,,,
208,12/18/19 11:45,4.085,17,34.117691,-117.746524,,,,
400,12/18/19 11:45,0.14,1,34.104089,-117.746679,,,,
592,12/18/19 11:45,0.081428571,0,34.104334,-117.743445,,,,
784,12/18/19 11:45,0,0,34.125368,-117.726098,,,,
976,12/18/19 11:45,0.029285714,0,34.142913,-117.672854,,,,
1168,12/18/19 11:45,0.290714286,1,34.106646,-117.72357,,,,
1461,12/18/19 11:45,0.178928571,1,34.114777,-117.747759,,,,
1653,12/18/19 11:45,0.352857143,1,34.101792,-117.709791,,,,
1845,12/18/19 11:45,0.012857143,0,34.136145,-117.659406,,,,
17,12/18/19 12:00,1.531428571,6,34.072166,-117.749625,,,,
209,12/18/19 12:00,2.185,9,34.117691,-117.746524,,,,
401,12/18/19 12:00,0.145625,1,34.104089,-117.746679,,,,
593,12/18/19 12:00,0.085178571,0,34.104334,-117.743445,,,,
785,12/18/19 12:00,0,0,34.125368,-117.726098,,,,
977,12/18/19 12:00,0.024375,0,34.142913,-117.672854,,,,
1169,12/18/19 12:00,0.379821429,2,34.106646,-117.72357,,,,
1462,12/18/19 12:00,0.047142857,0,34.114777,-117.747759,,,,
1654,12/18/19 12:00,0.215,1,34.101792,-117.709791,,,,
1846,12/18/19 12:00,0,0,34.136145,-117.659406,,,,
18,12/18/19 12:15,2.81125,12,34.072166,-117.749625,,,,
210,12/18/19 12:15,NA,NA,34.117691,-117.746524,,,,
402,12/18/19 12:15,0.123571429,1,34.104089,-117.746679,,,,
594,12/18/19 12:15,0.027142857,0,34.104334,-117.743445,,,,
786,12/18/19 12:15,0,0,34.125368,-117.726098,,,,
978,12/18/19 12:15,0.017857143,0,34.142913,-117.672854,,,,
1170,12/18/19 12:15,0.504642857,2,34.106646,-117.72357,,,,
1463,12/18/19 12:15,0.153392857,1,34.114777,-117.747759,,,,
1655,12/18/19 12:15,0.211428571,1,34.101792,-117.709791,,,,
1847,12/18/19 12:15,0.007857143,0,34.136145,-117.659406,,,,
19,12/18/19 12:30,2.510714286,10,34.072166,-117.749625,,,,
211,12/18/19 12:30,4.13,17,34.117691,-117.746524,,,,
403,12/18/19 12:30,0.0425,0,34.104089,-117.746679,,,,
595,12/18/19 12:30,0.017857143,0,34.104334,-117.743445,,,,
787,12/18/19 12:30,0,0,34.125368,-117.726098,,,,
979,12/18/19 12:30,0.025625,0,34.142913,-117.672854,,,,
1171,12/18/19 12:30,0.361339286,2,34.106646,-117.72357,,,,
1464,12/18/19 12:30,0.205625,1,34.114777,-117.747759,,,,
1656,12/18/19 12:30,0.21625,1,34.101792,-117.709791,,,,
1848,12/18/19 12:30,0.013125,0,34.136145,-117.659406,,,,
20,12/18/19 12:45,2.75125,11,34.072166,-117.749625,,,,
212,12/18/19 12:45,1.464375,6,34.117691,-117.746524,,,,
404,12/18/19 12:45,0.025714286,0,34.104089,-117.746679,,,,
596,12/18/19 12:45,0.137410714,1,34.104334,-117.743445,,,,
788,12/18/19 12:45,0,0,34.125368,-117.726098,,,,
980,12/18/19 12:45,0.008571429,0,34.142913,-117.672854,,,,
1172,12/18/19 12:45,0.25,1,34.106646,-117.72357,,,,
1465,12/18/19 12:45,0.164375,1,34.114777,-117.747759,,,,
1657,12/18/19 12:45,0.148571429,1,34.101792,-117.709791,,,,
1849,12/18/19 12:45,0.022142857,0,34.136145,-117.659406,,,,
21,12/18/19 13:00,1.880714286,8,34.072166,-117.749625,,,,
